2014,进,丢,场,胜,平,负,2010,进,丢,场,胜,平,负,2006,进,丢,场,胜,平,负
Germany,18,4,7,6,1,0,Netherlands,12,6,7,6,0,1,Italy,12,2,7,5,2,0
Netherlands,15,4,7,5,2,0,Spain,8,2,7,6,0,1,Germany,14,6,7,5,1,1
Argentina,8,4,7,5,1,1,Germany,16,5,7,5,0,2,France,9,3,7,4,3,0
Brazil,11,14,7,3,2,2,Uruguay,11,8,7,3,2,2,Portugal,7,5,7,4,1,2
Colombia,12,4,5,4,0,1,Argentina,10,6,5,4,0,1,Brazil,10,2,5,4,0,1
Belgium,6,3,5,4,0,1,Brazil,9,4,5,3,1,1,Argentina,11,3,5,3,2,0
France,10,3,5,3,1,1,Ghana,5,4,5,2,2,1,England,6,2,5,3,2,0
Costa Rica,5,2,5,2,3,0,Paraguay,3,2,5,1,3,1,Ukraine,5,7,5,2,1,2
Chile,6,4,4,2,1,1,Japan,4,2,4,2,1,1,Spain,9,4,4,3,0,1
Mexico,5,3,4,2,1,1,Chile,3,5,4,2,0,2,Switzerland,4,0,4,2,2,0
Switzerland,7,7,4,2,0,2,Portugal,7,1,4,1,2,1,Netherlands,3,2,4,2,1,1
Uruguay,4,6,4,2,0,2,USA,5,5,4,1,2,1,Ecuador,5,4,4,2,0,2
Greece,3,5,4,1,2,1,England,3,5,4,1,2,1,Ghana,4,6,4,2,0,2
Algeria,7,7,4,1,1,2,Korea Republic,6,8,4,1,1,2,Sweden,3,4,4,1,2,1
USA,5,6,4,1,1,2,Slovakia,5,7,4,1,1,2,Mexico,5,5,4,1,1,2
Nigeria,3,5,4,1,1,2,Mexico,4,5,4,1,1,2,Australia,5,6,4,1,1,2
Portugal,4,7,3,1,1,1,Côte d'Ivoire,4,3,3,1,1,1,Korea Republic,3,4,3,1,1,1
Ecuador,3,3,3,1,1,1,South Africa,3,5,3,1,1,1,Côte d'Ivoire,5,6,3,1,0,2
Croatia,6,6,3,1,0,2,Slovenia,3,3,3,1,1,1,Czech Republic,3,4,3,1,0,2
Spain,4,7,3,1,0,2,Australia,3,6,3,1,1,1,Poland,2,4,3,1,0,2
Côte d'Ivoire,4,5,3,1,0,2,Switzerland,1,1,3,1,1,1,Paraguay,2,2,3,1,0,2
Bosnia and Herzegovina,4,4,3,1,0,2,Denmark,3,6,3,1,0,2,Croatia,2,3,3,0,2,1
Italy,2,3,3,1,0,2,Greece,2,5,3,1,0,2,Angola,1,2,3,0,2,1
Russia,2,3,3,0,2,1,Serbia,2,3,3,1,0,2,Tunisia,3,6,3,0,1,2
Ghana,4,6,3,0,1,2,New Zealand,2,2,3,0,3,0,Japan,2,7,3,0,1,2
Korea Republic,3,6,3,0,1,2,Italy,4,5,3,0,2,1,USA,2,6,3,0,1,2
England,2,4,3,0,1,2,Nigeria,3,5,3,0,1,2,Saudi Arabia,2,7,3,0,1,2
Japan,2,6,3,0,1,2,France,1,4,3,0,1,2,Trinidad and Tobago,0,4,3,0,1,2
IR Iran,1,4,3,0,1,2,Algeria,0,2,3,0,1,2,Costa Rica,3,9,3,0,0,3
Australia,3,9,3,0,0,3,Honduras,0,3,3,0,1,2,Serbia and Montenegro,2,10,3,0,0,3
Cameroon,1,9,3,0,0,3,Cameroon,2,5,3,0,0,3,Togo,1,6,3,0,0,3
Honduras,1,8,3,0,0,3,Korea DPR,1,12,3,0,0,3,IR Iran,1,5,2,0,0,2
,,,,,,,,,,,,,,Iran,1,1,1,0,1,0
2002,进,丢,场,胜,平,负,1998,进,丢,场,胜,平,负,1994,进,丢,场,胜,平,负
Brazil,18,4,7,7,0,0,France,15,2,7,6,1,0,Brazil,11,3,7,5,2,0
Germany,14,3,7,5,1,1,Croatia,11,5,7,5,0,2,Italy,8,5,7,4,2,1
Turkey,10,6,7,4,1,2,Brazil,14,10,7,4,1,2,Sweden,15,8,7,3,3,1
Korea Republic,8,6,7,3,2,2,Netherlands,13,7,7,3,3,1,Bulgaria,10,11,7,3,1,3
Spain,10,5,5,3,2,0,Italy,8,3,5,3,2,0,Romania,10,9,5,3,1,1
Senegal,7,6,5,2,2,1,Argentina,10,4,5,3,1,1,Germany,9,7,5,3,1,1
England,6,3,5,2,2,1,Germany,8,6,5,3,1,1,Netherlands,8,6,5,3,0,2
USA,7,7,5,2,1,2,Denmark,9,7,5,2,1,2,Spain,10,6,5,2,2,1
Denmark,5,5,4,2,1,1,England,7,4,4,2,1,1,Argentina,8,6,4,2,0,2
Japan,5,3,4,2,1,1,Yugoslavia,5,4,4,2,1,1,Nigeria,7,4,4,2,0,2
Mexico,4,4,4,2,1,1,Romania,4,3,4,2,1,1,Saudi Arabia,5,6,4,2,0,2
Republic of Ireland,6,3,4,1,3,0,Nigeria,6,9,4,2,0,2,Belgium,4,4,4,2,0,2
Belgium,6,7,4,1,2,1,Mexico,8,7,4,1,2,1,Mexico,4,4,4,1,2,1
Sweden,5,5,4,1,2,1,Norway,5,5,4,1,2,1,Switzerland,5,7,4,1,1,2
Paraguay,6,7,4,1,1,2,Paraguay,3,2,4,1,2,1,USA,3,4,4,1,1,2
Italy,5,5,4,1,1,2,Chile,5,8,4,0,3,1,Republic of Ireland,2,4,4,1,1,2
South Africa,5,5,3,1,1,1,Spain,8,4,3,1,1,1,Norway,1,1,3,1,1,1
Costa Rica,5,6,3,1,1,1,Morocco,5,5,3,1,1,1,Russia,7,6,3,1,0,2
Cameroon,2,3,3,1,1,1,Jamaica,3,9,3,1,0,2,Colombia,4,5,3,1,0,2
Argentina,2,2,3,1,1,1,Iran,2,4,3,1,0,2,Korea Republic,4,5,3,0,2,1
Portugal,6,4,3,1,0,2,Colombia,1,3,3,1,0,2,Cameroon,3,11,3,0,1,2
Russia,4,4,3,1,0,2,Belgium,3,3,3,0,3,0,Bolivia,1,4,3,0,1,2
Poland,3,7,3,1,0,2,Austria,3,4,3,0,2,1,Morocco,2,5,3,0,0,3
Croatia,2,3,3,1,0,2,South Africa,3,6,3,0,2,1,Greece,0,10,3,0,0,3
Ecuador,2,4,3,1,0,2,Cameroon,2,5,3,0,2,1,,,,,,,
Uruguay,4,5,3,0,2,1,Scotland,2,6,3,0,1,2,,,,,,,
Nigeria,1,3,3,0,1,2,Saudi Arabia,2,7,3,0,1,2,,,,,,,
Tunisia,1,5,3,0,1,2,Korea Republic,2,9,3,0,1,2,,,,,,,
France,0,3,3,0,1,2,Bulgaria,1,7,3,0,1,2,,,,,,,
Slovenia,2,7,3,0,0,3,Tunisia,1,4,3,0,1,2,,,,,,,
Saudi Arabia,0,12,3,0,0,3,Japan,1,4,3,0,0,3,,,,,,,
China PR,0,9,3,0,0,3,USA,1,5,3,0,0,3,,,,,,,
1990,进,丢,场,胜,平,负,1986,进,丢,场,胜,平,负,1982,进,丢,场,胜,平,负
Italy,10,2,7,6,1,0,Argentina,14,5,7,6,1,0,Italy,12,6,7,4,3,0
Germany FR,15,5,7,5,2,0,France,12,6,7,4,2,1,Poland,11,5,7,3,3,1
England,8,6,7,3,3,1,Germany FR,8,7,7,3,2,2,France,16,12,7,3,2,2
Argentina,5,4,7,2,3,2,Belgium,12,15,7,2,2,3,Germany FR,12,10,7,3,2,2
Yugoslavia,8,6,5,3,1,1,Brazil,10,1,5,4,1,0,Brazil,15,6,5,4,0,1
Czechoslovakia,10,5,5,3,0,2,Mexico,6,2,5,3,2,0,England,6,1,5,3,2,0
Cameroon,7,9,5,3,0,2,Spain,11,4,5,3,1,1,Soviet Union,7,4,5,2,2,1
Republic of Ireland,2,3,5,0,4,1,England,7,3,5,2,1,2,Austria,5,4,5,2,1,2
Brazil,4,2,4,3,0,1,Denmark,10,6,4,3,0,1,Belgium,3,5,5,2,1,2
Spain,6,4,4,2,1,1,Soviet Union,12,5,4,2,1,1,Argentina,8,7,5,2,0,3
Belgium,6,4,4,2,0,2,Italy,5,6,4,1,2,1,Northern Ireland,5,7,5,1,3,1
Costa Rica,4,6,4,2,0,2,Paraguay,4,6,4,1,2,1,Spain,4,5,5,1,2,2
Romania,4,3,4,1,2,1,Morocco,3,2,4,1,2,1,Algeria,5,5,3,2,0,1
Colombia,4,4,4,1,1,2,Poland,1,7,4,1,1,2,Hungary,12,6,3,1,1,1
Uruguay,2,5,4,1,1,2,Bulgaria,2,6,4,0,2,2,Scotland,8,8,3,1,1,1
Netherlands,3,4,4,0,3,1,Uruguay,2,8,4,0,2,2,Yugoslavia,2,2,3,1,1,1
Soviet Union,4,4,3,1,0,2,Hungary,2,9,3,1,0,2,Cameroon,1,1,3,0,3,0
Austria,2,3,3,1,0,2,Portugal,2,4,3,1,0,2,Peru,2,6,3,0,2,1
Scotland,2,3,3,1,0,2,Korea Republic,4,7,3,0,1,2,Honduras,2,3,3,0,2,1
Egypt,1,2,3,0,2,1,Northern Ireland,2,6,3,0,1,2,Czechoslovakia,2,4,3,0,2,1
Sweden,3,6,3,0,0,3,Algeria,1,5,3,0,1,2,Kuwait,2,6,3,0,1,2
United Arab Emirates,2,11,3,0,0,3,Scotland,1,3,3,0,1,2,Chile,3,8,3,0,0,3
USA,2,8,3,0,0,3,Iraq,1,4,3,0,0,3,New Zealand,2,12,3,0,0,3
Korea Republic,1,6,3,0,0,3,Canada,0,5,3,0,0,3,El Salvador,1,13,3,0,0,3
1978,进,丢,场,胜,平,负,1974,进,丢,场,胜,平,负,1970,进,丢,场,胜,平,负
Argentina,15,4,7,5,1,1,Poland,16,5,7,6,0,1,Brazil,19,7,6,6,0,0
Brazil,10,3,7,4,3,0,Germany FR,13,4,7,6,0,1,Germany FR,17,10,6,5,0,1
Italy,9,6,7,4,1,2,Netherlands,15,3,7,5,1,1,Italy,10,8,6,3,2,1
Netherlands,15,10,7,3,2,2,Brazil,6,4,7,3,2,2,Uruguay,4,5,6,2,1,3
Poland,6,6,6,3,1,2,Sweden,7,6,6,2,2,2,Mexico,6,4,4,2,1,1
Austria,7,10,6,3,0,3,German DR,5,5,6,2,2,2,Soviet Union,6,2,4,2,1,1
Peru,7,12,6,2,1,3,Yugoslavia,12,7,6,1,2,3,Peru,9,9,4,2,0,2
Germany FR,10,5,6,1,4,1,Argentina,9,12,6,1,2,3,England,4,4,4,2,0,2
Scotland,5,6,3,1,1,1,Scotland,3,1,3,1,2,0,Sweden,2,2,3,1,1,1
Tunisia,3,2,3,1,1,1,Italy,5,4,3,1,1,1,Romania,4,5,3,1,0,2
Spain,2,2,3,1,1,1,Bulgaria,2,5,3,0,2,1,Belgium,4,5,3,1,0,2
France,5,5,3,1,0,2,Chile,1,2,3,0,2,1,Israel,1,3,3,0,2,1
IR Iran,2,8,3,0,1,2,Uruguay,1,6,3,0,1,2,Bulgaria,5,9,3,0,1,2
Sweden,1,3,3,0,1,2,Australia,0,5,3,0,1,2,Morocco,2,6,3,0,1,2
Hungary,3,8,3,0,0,3,Haiti,2,14,3,0,0,3,Czechoslovakia,2,7,3,0,0,3
Mexico,2,12,3,0,0,3,Zaire,0,14,3,0,0,3,El Salvador,0,9,3,0,0,3
1966,进,丢,场,胜,平,负,1962,进,丢,场,胜,平,负,1958,进,丢,场,胜,平,负
England,11,3,6,5,1,0,Brazil,14,5,6,5,1,0,Brazil,16,4,6,5,1,0
Portugal,17,8,6,5,0,1,Chile,10,8,6,4,0,2,Sweden,12,7,6,4,1,1
Germany FR,15,6,6,4,1,1,Czechoslovakia,7,7,6,3,1,2,France,23,15,6,4,0,2
Soviet Union,10,6,6,4,0,2,Yugoslavia,10,7,6,3,0,3,Germany FR,12,14,6,2,2,2
Argentina,4,2,4,2,1,1,Soviet Union,9,7,4,2,1,1,Northern Ireland,6,10,5,2,1,2
Hungary,8,7,4,2,0,2,Hungary,8,3,4,2,1,1,Soviet Union,5,6,5,2,1,2
Uruguay,2,5,4,1,2,1,Germany FR,4,2,4,2,1,1,Wales,4,4,5,1,3,1
Korea DPR,5,9,4,1,1,2,England,5,6,4,1,1,2,Yugoslavia,7,7,4,1,2,1
Brazil,4,6,3,1,0,2,Italy,3,2,3,1,1,1,Czechoslovakia,9,6,4,1,1,2
Spain,4,5,3,1,0,2,Argentina,2,3,3,1,1,1,Hungary,7,5,4,1,1,2
Italy,2,2,3,1,0,2,Uruguay,4,6,3,1,0,2,England,4,5,4,0,3,1
Mexico,1,3,3,0,2,1,Mexico,3,4,3,1,0,2,Paraguay,9,12,3,1,1,1
France,2,5,3,0,1,2,Spain,2,3,3,1,0,2,Argentina,5,10,3,1,0,2
Chile,2,5,3,0,1,2,Colombia,5,11,3,0,1,2,Scotland,4,6,3,0,1,2
Bulgaria,1,8,3,0,0,3,Bulgaria,1,7,3,0,1,2,Austria,2,7,3,0,1,2
Switzerland,1,9,3,0,0,3,Switzerland,2,8,3,0,0,3,Mexico,1,8,3,0,1,2
1954,进,丢,场,胜,平,负,1950,进,丢,场,胜,平,负,1938,进,丢,场,胜,平,负
Germany FR,25,14,6,5,0,1,Brazil,22,6,6,4,1,1,Brazil,14,11,5,3,1,1
Hungary,27,10,5,4,0,1,Spain,10,12,6,3,1,2,Italy,11,5,4,4,0,0
Austria,17,12,5,4,0,1,Sweden,11,15,5,2,1,2,Hungary,15,5,4,3,0,1
Uruguay,16,9,5,3,0,2,Uruguay,15,5,4,3,1,0,Switzerland,5,5,3,1,1,1
Switzerland,11,11,4,2,0,2,Yugoslavia,7,3,3,2,0,1,Cuba,5,12,3,1,1,1
Brazil,8,5,3,1,1,1,Switzerland,4,6,3,1,1,1,Czechoslovakia,5,3,3,1,1,1
England,8,8,3,1,1,1,Chile,5,6,3,1,0,2,Sweden,11,9,3,1,0,2
Yugoslavia,2,3,3,1,1,1,USA,4,8,3,1,0,2,France,4,4,2,1,0,1
Turkey,10,11,3,1,0,2,England,2,2,3,1,0,2,Romania,4,5,2,0,1,1
Italy,6,7,3,1,0,2,Mexico,2,10,3,0,0,3,Germany,3,5,2,0,1,1
France,3,3,2,1,0,1,Italy,4,3,2,1,0,1,Poland,5,6,1,0,0,1
Belgium,5,8,2,0,1,1,Paraguay,2,4,2,0,1,1,Belgium,1,3,1,0,0,1
Mexico,2,8,2,0,0,2,Bolivia,0,8,1,0,0,1,Norway,1,2,1,0,0,1
Scotland,0,8,2,0,0,2,,,,,,,,Dutch East Indies,0,6,1,0,0,1
Czechoslovakia,0,7,2,0,0,2,,,,,,,,Netherlands,0,3,1,0,0,1
Korea Republic,0,16,2,0,0,2,,,,,,,,,,,,,,
1934,进,丢,场,胜,平,负,1930,进,丢,场,胜,平,负,,,,,,,
Italy,12,3,5,4,1,0,Argentina,18,9,5,4,0,1,,,,,,,
Germany,11,8,4,3,0,1,Uruguay,15,3,4,4,0,0,,,,,,,
Czechoslovakia,9,6,4,3,0,1,USA,7,6,3,2,0,1,,,,,,,
Austria,7,7,4,2,0,2,Yugoslavia,7,7,3,2,0,1,,,,,,,
Spain,4,3,3,1,1,1,Chile,5,3,3,2,0,1,,,,,,,
Hungary,5,4,2,1,0,1,France,4,3,3,1,0,2,,,,,,,
Switzerland,5,5,2,1,0,1,Mexico,4,13,3,0,0,3,,,,,,,
Sweden,4,4,2,1,0,1,Brazil,5,2,2,1,0,1,,,,,,,
France,2,3,1,0,0,1,Romania,3,5,2,1,0,1,,,,,,,
Belgium,2,5,1,0,0,1,Paraguay,1,3,2,1,0,1,,,,,,,
Egypt,2,4,1,0,0,1,Peru,1,4,2,0,0,2,,,,,,,
Argentina,2,3,1,0,0,1,Belgium,0,4,2,0,0,2,,,,,,,
Netherlands,2,3,1,0,0,1,Bolivia,0,8,2,0,0,2,,,,,,,
Romania,1,2,1,0,0,1,,,,,,,,,,,,,,
USA,1,7,1,0,0,1,,,,,,,,,,,,,,
Brazil,1,3,1,0,0,1,,,,,,,,,,,,,,
